"ProductId";"ProductLanguageId";"ProductVariantId";"ProductNumber";"ProductName";"ProductShortDescription";"ProductLongDescription";"ProductPrice";"ProductWeight";"ProductVolume";"ProductActive";"ProductCreated";"ProductUpdated";"ProductCost";"brand";"Format";"Type";"EAN";"Document";"Material";"EcoFriendly";"Color";"SupplierItemNumber";"length";"width";"height";"Groups"
"PROD7";"LANG1";"";"10001";"Mongoose Tyax Comp Disc #3";"<p>So fast. So agile. So stable. So comfortable. So simple. Just hop on the light and durable chromoly frame, settle your tush into the comfy saddle, place your feet on the pedals and let the single speed drivetrain do all the work for you.</p>";"<ul>	<li>Aluminum hård hale frame is lightweight and delivers solid performance on the trail</li>	<li>100mm of plush front suspension adds control and comfort in variable terrain</li>	<li>Shimano 24-speed drivetrain with 11/32T cassette gives you plenty of gearing options to choose from</li>	<li>EZ Fire trigger shifters for quick and effortless shifts</li>	<li>Aluminum handlebar, stem and adjustable seatpost supply core-level strength, style and performance</li>	<li>Kenda Komodo tires use a non-directional tread design to shed mud without compromising speed</li>	<li>ProMax mechanical disc brakes provide low maintenance, all-weather stopping power</li></ul>";"100";"5";"5";"True";"09-01-2009 10:33:30:000";"08-02-2018 12:53:45:243";"0";"Mongoose";"123";"";"";"SOJ-test/PDF/PIM workflow _3 (custom-benefit).pdf";"Chromoly";"False";"";"";"";"";"";"""GROUP14"",""GROUP55"""
"PROD10";"LANG1";"";"10004";"Scattante X-560 Cyclocross";"<p>This winning CX racer will having you weaving through tight turns, climbing up unrelenting hills, traveling over jagged terrain, blasting through mucky conditions and conquering anything else that gets in its way!</p>";"<ul>	<li>7005 butted aluminum frame is lightweight, strong and rigid</li>	<li>Carbon bladed fork and seatpost dampens vibrations and offers a smooth, stiff ride</li>	<li>FSA Gossamer MegaExo compact cranks give you a sleek and powerful pedal stroke for the flats and the climbs</li>	<li>Shimano 105 drivetrain combines reliable speed and high performance with incredible control and response</li>	<li>Carbon/aluminum seatpost with aluminum stem and handlebar guarantees core-level strength, style and performance</li>	<li>Kenda K-932 tires provide excellent traction and stability without compromising speed</li>	<li>Alex ALX 270 wheelset cuts through the wind with bladed spokes, aero rims and smooth rolling hubs</li>	<li>Tektro 992AG linear-pull brakes deliver perfectly modulated stopping power</li></ul>";"849";"0";"0";"True";"09-01-2009 11:18:50:000";"15-01-2018 11:00:28:013";"0";"Scattante";"";"";"4512";"";"Chromoly";"True";"#607D8B";"";"";"";"";"""GROUP15"",""GROUP66"""
"PROD10";"LANG2";"";"10004";"Scattante X-560 Cyclocross";"<p>This winning CX racer will having you weaving through tight turns, climbing up unrelenting hills, traveling over jagged terrain, blasting through mucky conditions and conquering anything else that gets in its way!</p>";"<p>7005 butted aluminum frame is lightweight, strong and rigid</p><p>Carbon bladed fork and seatpost dampens vibrations and offers a smooth, stiff ride</p><p>FSA Gossamer MegaExo compact cranks give you a sleek and powerful pedal stroke for the flats and the climbs</p><p>Shimano 105 drivetrain combines reliable speed and high performance with incredible control and response</p><p>Carbon/aluminum seatpost with aluminum stem and handlebar guarantees core-level strength, style and performance</p><p>Kenda K-932 tires provide excellent traction and stability without compromising speed</p><p>Alex ALX 270 wheelset cuts through the wind with bladed spokes, aero rims and smooth rolling hubs</p><p>Tektro 992AG linear-pull brakes deliver perfectly modulated stopping power</p>";"849";"0";"0";"True";"09-01-2009 11:18:50:000";"15-01-2018 11:00:28:070";"0";"Scattante";"";"";"4512";"";"Chromoly";"True";"#607D8B";"";"";"";"";"""GROUP15"""
"PROD100";"LANG1";"";"10091";"Terry Women's Rosie Saddle";"<p>Rosie, the carefree rider on the back of this saddle, has come to life to liberate YOU and YOUR TUSH with comfort beyond your wildest dreams!</p>";"<ul>	<li>Unique, seamless cutaway through the nose relieves pressure on soft tissues</li>	<li>Slightly wider rear section offers exceptional support of a woman&rsquo;s sit bones</li>	<li>Extra padding keeps you cycling in luxurious comfort, without compromising one bit of performance</li>	<li>FeC alloy rails deliver lightweight strength</li>	<li>Smooth leather cover with Rosie graphic on the back offers one small piece of advice&hellip;&ldquo;ride like a girl!&rdquo;</li></ul>";"64,99";"1";"2";"True";"15-01-2009 12:44:41:000";"05-02-2018 09:06:25:420";"0";"Terry";"";"";"";"";"Leather";"False";"";"";"";"";"";"""GROUP34"",""GROUP91"""
"PROD100";"LANG2";"";"10091";"Terry Women's Rosie Saddle";"Rosie, the carefree rider on the back of this saddle, has come to life to liberate YOU and YOUR TUSH with comfort beyond your wildest dreams!";"Unique, seamless cutaway through the nose relieves pressure on soft tissues <br />Slightly wider rear section offers exceptional support of a woman&rsquo;s sit bones <br />Extra padding keeps you cycling in luxurious comfort, without compromising one bit of performance <br />FeC alloy rails deliver lightweight strength <br />Smooth leather cover with Rosie graphic on the back offers one small piece of advice&hellip;&ldquo;ride like a girl!&rdquo;";"64,99";"0";"0";"True";"15-01-2009 12:44:41:000";"05-02-2018 09:06:25:653";"0";"Terry";"";"";"";"";"Leather";"False";"";"";"";"";"";"""GROUP34"""
"PROD101";"LANG1";"";"10092";"Terry Women’s Butterfly Saddle";"<p>You don&rsquo;t have to sacrifice light weight and a low profile to get in-the-saddle-comfort.</p>";"<ul>	<li>Seamless cutaway is comfortable on soft tissues</li>	<li>Sculpted rear section supports the sit bones</li>	<li>Stiffer multi-density foam for increased pedaling power</li>	<li>Integrated suspension bridge minimizes road shock</li></ul>";"89,99";"1";"2";"True";"15-01-2009 12:47:29:000";"05-02-2018 09:06:25:710";"0";"Terry";"";"";"";"";"Leather";"False";"";"";"";"";"";"""GROUP34"",""GROUP91"""
"PROD101";"LANG2";"";"10092";"Terry Women’s Butterfly Saddle";"You don&rsquo;t have to sacrifice light weight and a low profile to get in-the-saddle-comfort.";"<ul>      <li>Seamless cutaway is comfortable on soft tissues</li>      <li>Sculpted rear section supports the sit bones</li>      <li>Stiffer multi-density foam for increased pedaling power</li>      <li>Integrated suspension bridge minimizes road shock</li></ul>";"89,99";"0";"0";"True";"15-01-2009 12:47:29:000";"05-02-2018 09:06:25:763";"0";"Terry";"";"";"";"";"Leather";"False";"";"";"";"";"";"""GROUP34"""
"PROD102";"LANG1";"";"10093";"Selle Italia Flite Gel Flow Saddle";"<p>The forerunner of Selle Italia&rsquo;s ultra-light saddles, the Flite Gel Flow remains one of the most popular and comfortable racing saddles ever made!</p>";"<ul>	<li>Silicone gel inserts with differentiated thickness have been strategically placed around the anatomical cut out to improve comfort and relieve pressure in the frontal soft tissue area</li>	<li>Perfect Fit padding underneath adheres to your body for additional support</li>	<li>10% carbon composite shell absorbs bumps and vibrations on the road or trail</li>	<li>Breathable, full-grain leather cover</li>	<li>Titanium rails deliver lightweight flexibility</li></ul>";"159,99";"1";"2";"True";"15-01-2009 12:48:17:000";"05-02-2018 09:06:25:793";"0";"Selle Italia";"";"";"";"";"Titanium";"False";"";"";"";"";"";"""GROUP34"",""GROUP91"""
"PROD102";"LANG2";"";"10093";"Selle Italia Flite Gel Flow Saddle";"The forerunner of Selle Italia&rsquo;s ultra-light saddles, the Flite Gel Flow remains one of the most popular and comfortable racing saddles ever made!";"<ul>      <li>Silicone gel inserts with differentiated thickness have been strategically placed around the anatomical cut out to improve comfort and relieve pressure in the frontal soft tissue area</li>      <li>Perfect Fit padding underneath adheres to your body for additional support</li>      <li>10% carbon composite shell absorbs bumps and vibrations on the road or trail</li>      <li>Breathable, full-grain leather cover</li>      <li>Titanium rails deliver lightweight flexibility</li></ul>";"159,99";"0";"0";"True";"15-01-2009 12:48:17:000";"05-02-2018 09:06:25:840";"0";"Selle Italia";"";"";"";"";"Titanium";"False";"";"";"";"";"";"""GROUP34"""
"PROD103";"LANG1";"";"10094";"The Seat by Ergo - Lycra Gel Saddle";"<p>This saddle supports your body the same way as when you sit in a chair.</p>";"<ul>	<li>Extra wide for unbelievable support and comfort</li>	<li>Short length provides a non-restrictive pedal stroke</li>	<li>Integrated rear reflectors for added visibility</li>	<li>Gel padding dissipates road vibration while providing plenty of padding for comfort</li></ul>";"39,99";"0";"0";"True";"15-01-2009 12:51:34:000";"05-02-2018 09:06:25:873";"0";"Ergo";"";"";"";"";"";"False";"";"";"";"";"";"""GROUP34"",""GROUP91"""
